"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,11,0,2,0,35,0,17,5,0,0,15,13,24,F
0,13,0,0,0,43,0,12,0,0,1,24,12,20,F
0,10,0,1,0,38,0,10,0,0,2,14,9,14,F
0,53,2,1,0,26,0,60,7,0,8,58,42,108,F
1,60,2,1,0,58,0,94,9,0,12,87,40,155,F
0,114,2,1,0,79,0,158,22,0,18,142,66,357,F
1,40,15,1,0,46,0,67,4,0,8,77,47,125,F
0,35,1,0,0,72,0,39,5,0,3,44,48,75,F
0,2,0,0,0,0,0,0,0,0,0,1,1,0,F
0,2,0,0,0,0,0,0,0,0,0,1,1,0,F
0,3,0,0,0,0,0,1,0,0,0,1,2,2,F
0,1,0,0,0,0,0,0,1,0,0,3,3,4,F
0,1,0,0,0,1,0,1,0,0,0,0,3,1,F
0,1,0,0,0,0,0,0,0,0,1,0,2,0,F
0,1,0,0,0,0,0,0,0,0,0,0,1,0,F
0,1,0,0,0,0,0,0,0,0,0,0,1,0,F
0,1,0,0,0,0,0,0,0,0,0,0,1,1,F
0,1,0,0,0,0,0,0,0,0,0,3,2,0,F
0,1,0,0,0,0,0,0,0,0,0,0,1,0,F
0,2,0,0,0,0,0,0,0,0,0,1,1,0,F
0,2,0,0,0,0,0,0,0,0,0,1,1,0,F
0,6,0,0,0,2,0,5,0,0,5,8,5,11,F
0,8,0,0,0,1,0,8,0,0,1,7,7,12,F
0,20,10,1,0,39,0,25,0,0,7,41,15,115,F
0,260,78,5,0,287,4,217,15,4,207,485,18,834,F
0,85,60,3,0,225,1,136,7,0,70,257,10,484,F
0,102,64,3,0,193,3,136,22,2,77,283,6,638,F
0,15,1,0,0,10,0,24,0,0,10,17,11,58,F
0,15,0,0,0,6,0,20,0,0,0,17,18,40,F
0,87,0,0,0,105,0,68,2,0,41,249,101,422,F
0,2,1,1,0,5,0,1,0,0,0,67,2,6,F
0,7,0,0,0,13,0,8,0,0,1,16,18,24,F
0,7,0,2,15,4,0,3,0,0,8,4,5,12,F
0,9,0,0,0,6,0,10,1,0,3,3,5,29,F
0,68,11,2,0,15,0,40,9,0,6,117,41,239,F
3,251,1,1,0,273,1,275,7,0,24,372,221,474,F
0,159,3,0,0,138,0,116,25,0,2,221,233,279,F
0,37,0,0,0,64,0,39,0,0,2,72,45,79,F
0,86,60,0,1,70,0,57,4,0,3,71,92,126,F
0,8,0,0,0,4,0,1,0,0,0,3,8,10,F
0,5,0,0,0,13,0,5,0,0,1,14,7,7,F
0,350,6,1,1,506,0,410,27,0,48,592,316,784,F
1,26,2,0,0,40,0,23,0,0,0,65,33,56,F
