"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,0,11,0,0,0,0,0,0,0,0,18,23,5,G
0,23,10,1,0,1,0,22,0,0,1,117,31,118,G
0,25,10,0,0,0,0,22,0,0,0,119,33,120,G
0,0,11,0,0,0,0,0,0,0,0,18,23,5,G
0,23,10,1,0,1,0,22,0,0,1,108,31,101,G
0,25,10,0,0,0,0,22,0,0,0,108,33,102,G
0,7,6,2,0,33,0,4,0,0,0,138,10,136,G
0,19,20,0,0,0,0,18,0,0,0,74,64,58,G
0,12,12,0,0,0,0,9,0,0,0,45,49,37,G
0,0,6,0,0,0,0,0,0,0,1,6,4,0,G
0,3,9,0,0,0,0,3,0,0,0,28,13,8,G
0,3,9,0,0,0,0,3,0,0,0,28,13,8,G
0,0,9,0,0,0,0,0,0,0,0,14,14,1,G
0,0,17,0,0,0,0,0,0,0,0,20,17,0,G
0,6,8,0,0,0,0,6,0,0,0,35,34,15,G
0,2,4,0,0,1,0,2,0,0,0,20,9,7,G
0,8,18,0,0,0,0,7,0,0,0,37,37,15,G
0,2,4,0,0,1,0,2,0,0,0,17,11,6,G
0,4,16,0,0,0,0,3,0,0,0,19,26,5,G
0,13,22,0,0,2,0,10,0,1,0,77,30,57,G
0,6,21,0,0,0,0,4,0,1,0,43,30,14,G
0,61,75,0,0,142,0,55,0,5,0,643,51,2770,G
0,4,5,0,0,0,1,2,0,0,0,30,4,55,G
0,4,0,0,0,0,0,0,0,0,0,0,0,0,G
0,3,1,0,0,1,0,2,0,0,0,43,6,80,G
0,2,16,0,0,2,0,2,0,0,0,62,10,88,G
0,0,13,0,0,0,0,0,0,0,0,9,8,1,G
0,8,2,0,0,0,0,0,0,0,0,1,0,1,G
0,1,1,0,0,0,0,0,0,0,0,7,7,4,G
0,7,13,0,0,0,0,5,0,0,0,32,3,32,G
0,1,1,0,0,0,0,0,0,0,0,21,6,29,G
0,1,1,0,0,0,0,0,0,0,0,21,5,29,G
0,46,20,1,0,26,0,39,0,0,0,93,28,139,G
0,10,7,0,0,4,0,10,0,0,0,20,27,38,G
0,1,2,0,0,0,0,0,0,0,0,2,1,0,G
0,0,2,0,0,0,0,0,0,0,0,0,0,0,G
0,18,8,0,0,1,0,14,0,1,1,100,14,75,G
0,0,2,0,0,0,0,0,0,0,0,0,0,0,G
0,19,8,0,0,3,0,15,0,1,1,116,15,80,G
0,0,7,0,0,0,0,0,0,0,0,4,1,0,G
0,1,5,0,0,0,0,1,0,0,0,9,3,7,G
0,5,6,0,0,0,0,5,0,0,0,19,6,14,G
0,5,6,0,0,0,0,5,0,0,0,19,6,14,G
0,10,9,0,0,4,0,10,0,0,0,25,3,28,G
0,0,10,0,0,0,0,0,0,0,0,10,10,0,G
0,1,10,0,0,0,0,1,0,0,0,8,12,2,G
0,8,6,0,0,3,0,7,0,0,0,16,10,23,G
0,43,13,0,0,39,0,33,0,0,0,348,22,651,G
0,7,25,0,0,1,0,6,0,0,0,26,6,17,G
0,62,14,1,0,49,0,60,0,0,2,66,20,135,G
0,32,5,0,0,12,0,31,0,2,0,28,10,68,G
0,20,4,1,0,18,0,18,0,0,0,45,16,92,G
