"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,1,0,10,70,3,0,1,0,0,2,0,3,13,H
0,2,4,6,29,3,0,0,0,0,0,5,0,21,H
0,1,4,2,6,2,0,3,0,0,0,2,3,11,H
0,0,0,3,7,2,0,0,0,0,0,0,4,0,H
0,1,11,6,33,2,1,3,0,0,5,16,0,34,H
0,1,0,8,20,3,0,1,0,0,0,0,3,8,H
0,1,19,4,44,1,1,6,0,0,2,61,0,18,H
0,1,11,6,36,2,1,3,0,0,5,16,0,34,H
0,0,4,2,1,11,0,0,0,0,0,3,3,4,H
0,1,17,10,34,2,1,6,0,0,7,15,3,11,H
0,0,19,4,43,1,1,5,0,0,2,60,0,16,H
0,1,11,6,36,2,1,3,0,0,5,16,0,34,H
0,1,0,6,14,4,0,1,0,0,0,0,3,9,H
0,2,10,6,26,2,1,3,0,0,5,12,0,32,H
0,1,0,10,32,3,0,2,0,0,0,0,3,10,H
0,0,19,4,43,1,1,5,0,0,2,60,0,16,H
0,1,13,6,36,2,1,3,0,0,5,15,0,52,H
0,1,0,8,30,5,0,2,0,0,0,0,3,10,H
0,1,12,8,27,2,1,3,0,0,5,12,0,30,H
0,0,4,2,1,11,0,0,0,0,0,3,3,4,H
0,1,11,10,40,4,1,2,0,0,4,12,3,10,H
0,1,12,8,27,2,1,3,0,0,5,12,0,30,H
0,1,0,10,22,4,0,1,0,0,1,1,3,8,H
0,1,12,8,27,2,1,3,0,0,5,12,0,30,H
0,2,0,8,30,5,0,2,0,0,0,0,3,12,H
0,1,15,8,29,2,1,5,0,0,5,13,0,32,H
0,1,0,8,25,4,0,2,0,0,0,0,3,10,H
0,1,11,6,28,2,1,3,0,0,5,14,0,33,H
0,1,0,6,13,3,0,1,0,0,0,0,3,8,H
0,0,24,12,64,2,1,5,0,0,4,99,0,17,H
0,1,11,6,30,2,1,3,0,0,5,15,0,33,H
0,4,24,1,0,34,1,14,0,0,1,22,11,32,H
0,1,16,6,39,2,0,6,0,0,11,15,0,47,H
0,0,2,13,30,3,0,0,0,0,0,0,2,19,H
0,2,9,6,30,2,0,4,0,0,1,12,0,37,H
0,1,0,7,16,3,1,2,0,0,0,0,3,11,H
0,8,31,1,20,2,13,3,0,0,11,8,13,86,H
0,1,2,6,28,9,0,0,0,0,1,5,0,16,H
0,1,1,11,38,3,0,1,0,0,0,0,3,17,H
1,1,13,11,44,3,1,3,0,0,8,25,0,35,H
0,1,0,18,34,2,0,2,0,0,0,9,3,4,H
1,5,6,7,40,1,1,6,0,0,6,10,0,11,H
0,1,14,9,17,1,4,6,0,0,4,16,0,11,H
0,1,14,14,19,1,3,4,0,0,4,18,2,5,H
0,0,5,13,7,1,0,6,0,0,0,1,3,6,H
0,4,15,18,20,1,1,7,0,0,0,19,0,10,H
0,2,49,43,40,5,9,29,0,0,9,36,6,94,H
0,0,14,13,12,1,4,7,0,1,12,12,0,11,H
0,0,4,2,3,1,1,0,0,0,2,3,0,1,H
0,0,7,2,5,1,1,0,0,1,2,12,6,1,H
0,3,11,6,19,2,0,4,0,0,3,11,0,13,H
0,4,12,5,23,4,0,4,0,0,3,15,0,25,H
0,0,8,5,10,4,0,0,0,0,2,21,0,6,H
0,3,11,4,18,4,0,4,0,0,3,11,0,13,H
0,0,8,6,13,4,0,0,0,0,0,26,0,12,H
0,4,16,6,19,55,15,3,0,0,1,24,3,57,H
0,0,9,6,8,3,1,0,0,0,3,15,2,5,H
0,0,9,6,7,3,1,0,0,0,2,15,2,5,H
0,4,20,9,29,7,0,1,0,1,0,24,1,19,H
1,11,23,12,42,10,3,3,0,2,5,34,2,31,H
0,7,13,1,0,26,0,6,0,0,7,25,0,66,H
0,7,6,2,13,2,0,5,0,0,0,19,4,12,H
2,6,8,3,15,1,0,6,1,0,1,25,19,64,H
0,7,6,3,16,2,0,5,0,0,0,19,4,12,H
2,6,8,3,15,1,0,6,1,0,1,25,19,64,H
0,0,8,6,13,4,0,0,0,0,0,26,0,12,H
0,0,11,6,12,4,0,0,0,0,0,24,0,6,H
0,4,12,6,22,4,0,4,0,0,3,13,0,25,H
0,3,11,4,18,4,0,4,0,0,3,11,0,12,H
