"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,2,19,2,7,0,14,0,0,0,2,31,21,59,I
0,3,35,0,19,1,25,0,8,0,14,135,60,122,I
0,0,13,0,1,0,7,0,0,0,2,27,16,22,I
0,0,21,1,2,0,15,0,3,0,3,19,17,40,I
0,3,15,0,4,0,20,0,1,0,7,22,16,23,I
0,2,8,1,1,1,5,0,0,0,1,13,10,14,I
0,3,14,0,1,0,5,0,0,0,2,12,9,7,I
0,0,2,0,1,0,0,0,0,0,3,2,6,16,I
0,0,11,0,4,0,13,0,0,0,5,12,9,32,I
0,1,12,0,19,0,18,3,6,0,18,6,5,64,I
0,0,6,0,2,0,3,1,0,0,3,6,12,8,I
0,1,5,0,1,0,7,0,1,0,1,6,5,17,I
0,0,14,0,1,0,10,0,0,0,11,17,8,35,I
0,9,84,0,5,0,88,0,2,0,15,105,76,238,I
0,2,30,6,9,0,40,0,0,0,6,32,31,86,I
0,3,18,0,3,0,32,0,0,0,7,21,21,64,I
5,4,10,4,25,0,20,0,1,0,8,29,21,23,I
0,0,6,0,1,0,8,0,2,0,4,11,10,21,I
0,0,9,0,19,0,5,0,0,0,5,9,13,74,I
0,0,25,2,6,0,30,0,0,0,7,23,16,73,I
0,0,37,3,5,0,32,0,3,0,12,25,24,114,I
10,0,44,0,14,0,58,0,5,0,13,72,35,175,I
0,3,18,0,8,0,30,0,2,0,3,13,18,55,I
5,0,1,0,16,0,2,0,0,0,4,5,7,7,I
0,1,16,0,1,0,20,0,1,0,23,16,12,43,I
0,0,8,0,1,0,7,0,0,0,3,13,14,25,I
0,0,7,2,8,0,2,0,0,0,2,5,9,21,I
0,0,23,1,2,0,20,0,0,0,1,36,13,77,I
2,0,2,1,8,0,3,0,1,0,4,5,5,4,I
0,3,75,1,7,0,78,0,2,0,10,88,53,196,I
0,3,15,0,7,0,26,0,0,0,3,41,16,61,I
2,11,30,0,9,0,29,0,3,0,19,876,26,106,I
0,5,72,3,5,0,75,0,16,0,17,88,50,286,I
0,6,68,1,6,1,71,0,1,0,11,59,53,187,I
0,0,1,0,1,0,3,0,0,0,1,4,2,4,I
1,0,16,1,10,0,27,0,0,0,5,19,14,59,I
0,13,68,0,6,0,61,1,1,0,8,96,56,208,I
0,7,116,8,33,5,130,0,2,0,20,153,92,520,I
0,0,23,0,13,0,28,0,0,0,12,16,21,75,I
2,0,37,2,2,0,44,0,1,0,3,40,36,107,I
0,0,1,0,1,0,2,0,0,0,1,0,3,5,I
0,0,16,1,9,0,17,0,4,0,6,20,12,37,I
0,4,18,0,1,0,18,0,1,0,14,23,14,28,I
0,9,61,0,15,1,78,1,1,0,8,62,68,116,I
0,2,8,0,2,0,4,0,0,0,8,13,9,27,I
0,38,22,0,7,0,11,5,0,0,2,171,10,62,I
0,3,7,0,1,0,2,0,0,0,1,6,10,12,I
0,1,5,0,1,0,0,0,0,0,1,19,4,16,I
0,2,11,0,1,0,0,0,0,0,0,3,2,0,I
0,5,7,0,1,0,0,0,0,0,2,30,6,4,I
0,2,6,0,14,0,8,0,0,0,15,28,6,23,I
0,37,15,0,9,0,13,0,0,0,1,82,9,27,I
0,1,7,0,1,0,2,0,0,0,1,19,4,7,I
0,6,21,0,7,0,16,0,0,0,17,46,11,33,I
0,0,1,0,1,0,1,0,0,0,0,1,2,1,I
