"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,5,0,1,3,1,0,6,0,0,2,3,8,10,J
0,9,0,1,2,7,0,5,0,0,0,7,12,25,J
0,115,221,1,0,34,0,57,1,0,1,134,47,201,J
0,10,0,0,0,0,0,6,0,0,3,12,13,17,J
0,5172,335,2,19,201,0,2804,1,0,12,15722,158,36059,J
0,6,0,1,2,1,0,2,0,0,0,5,11,6,J
0,31,1,0,2,3,0,32,0,0,0,39,20,64,J
0,3,0,0,0,0,0,5,0,0,0,3,5,8,J
0,3,0,0,0,0,0,3,0,0,0,2,4,5,J
0,19,0,2,26,1,0,22,1,0,4,20,25,33,J
0,2,0,0,0,0,0,7,1,0,0,4,5,1,J
0,5,0,0,2,0,0,2,0,0,0,6,5,3,J
0,2,0,0,0,0,0,0,1,0,0,3,4,2,J
1,45,0,2,27,6,0,37,1,0,4,35,45,96,J
0,1,0,1,1,1,0,3,0,0,2,1,8,2,J
0,23,0,1,20,14,0,48,0,0,9,42,28,133,J
0,76,0,1,15,16,0,77,0,0,15,66,41,163,J
0,17,0,1,3,17,0,19,0,0,5,15,19,43,J
1,47,0,4,63,22,0,80,0,0,12,48,44,204,J
0,1,0,1,1,1,0,3,0,0,2,1,8,2,J
0,2,0,1,0,2,0,1,0,0,0,8,6,2,J
0,22,0,0,15,14,0,8,0,0,0,26,23,31,J
0,8,0,2,0,11,0,5,1,0,0,7,8,6,J
0,13,0,1,0,12,0,9,1,0,1,6,12,33,J
0,6,0,0,4,2,0,3,0,0,0,7,11,10,J
0,5,0,0,0,3,0,1,0,0,0,0,4,3,J
0,5,0,0,0,1,0,3,1,0,1,2,7,10,J
0,8,0,1,0,12,0,8,0,0,0,3,5,2,J
0,8,0,1,1,9,0,10,0,0,0,5,6,7,J
0,4,0,1,2,1,0,6,0,0,2,3,8,6,J
0,2,0,0,5,0,0,1,1,0,1,3,4,4,J
0,6,0,0,0,0,0,4,0,0,0,3,2,0,J
0,11,0,3,1,1,0,2,1,0,4,8,18,4,J
0,97,0,4,19,52,1,125,0,2,8,79,36,313,J
0,1,0,1,1,2,0,2,0,0,0,0,2,2,J
0,39,0,1,3,33,0,45,0,0,4,36,34,128,J
0,87,0,1,0,20,0,112,3,0,12,116,80,163,J
0,5,0,0,1,0,0,4,0,0,0,2,2,2,J
0,72,0,1,2,16,0,49,0,0,4,66,48,126,J
0,1,0,0,0,0,0,0,0,0,0,1,1,0,J
0,115,0,1,0,72,0,88,1,0,13,72,33,224,J
0,71,0,2,1,47,0,69,3,0,6,25,17,110,J
0,139,0,1,13,14,0,222,0,2,11,50,28,365,J
0,94,0,1,2,74,0,60,2,0,2,98,35,206,J
0,128,0,2,24,49,0,109,0,1,5,77,26,191,J
0,98,0,1,8,42,0,78,0,0,0,52,35,208,J
0,8,0,1,0,4,0,5,0,0,1,6,3,7,J
0,91,0,1,3,33,0,81,2,0,0,66,22,143,J
0,305,0,1,11,117,0,285,2,0,7,192,80,549,J
0,37,0,1,2,29,0,50,0,0,0,27,13,73,J
0,546,2,1,14,288,0,468,8,0,2,777,27,1806,J
0,92,0,1,10,14,0,65,0,0,0,56,40,135,J
0,130,0,1,38,42,0,128,6,0,0,60,33,439,J
0,132,0,4,18,5,0,119,0,0,0,117,47,303,J
0,105,0,1,13,41,0,92,0,0,1,106,14,211,J
0,69,0,1,1,15,0,50,0,0,0,19,10,87,J
0,114,0,3,7,52,0,88,17,0,14,172,16,288,J
0,22,0,0,7,4,0,15,2,0,15,32,16,39,J
0,192,0,5,22,45,0,171,2,0,7,61,18,307,J
0,24,0,1,0,9,0,25,2,0,14,34,19,59,J
0,30,0,1,2,9,0,59,0,0,5,25,16,92,J
0,16,0,1,0,6,0,6,1,0,0,21,11,40,J
0,29,0,1,5,13,0,31,0,0,12,30,20,30,J
0,160,0,1,10,49,0,144,1,0,7,76,40,215,J
0,141,0,1,0,52,0,119,5,0,16,96,39,237,J
0,1,0,0,0,0,0,9,0,0,0,5,7,14,J
0,3,0,0,0,0,0,14,0,0,0,8,5,21,J
0,2,0,1,0,1,0,1,0,0,0,2,6,0,J
0,2,0,0,0,4,0,3,1,0,0,0,5,7,J
0,1,0,0,0,19,0,0,0,0,0,1,1,155,J
0,2,0,1,0,1,0,1,0,0,0,2,4,1,J
0,3,0,0,0,6,0,1,0,0,0,2,5,2,J
0,6,0,1,1,4,0,0,1,0,0,14,9,6,J
0,16,0,4,2,4,0,2,1,0,0,22,8,17,J
0,19,0,2,4,5,0,8,1,0,0,44,23,39,J
0,8,1,2,1,5,0,2,1,0,0,26,11,11,J
0,8,0,2,1,5,0,0,1,0,1,13,11,5,J
1,19,0,5,52,6,1,13,0,0,6,35,24,55,J
0,5,0,0,2,1,0,7,0,0,0,1,5,16,J
0,3,0,0,1,1,0,2,0,0,0,0,1,4,J
1,20,0,4,52,7,1,15,0,1,6,36,24,60,J
0,5,0,0,2,1,0,7,0,0,0,1,5,16,J
1,4,0,0,3,1,1,3,0,0,0,1,3,12,J
0,4,0,0,4,1,0,3,0,0,0,0,1,8,J
0,41,0,0,8,1,0,39,1,1,1,17,12,85,J
0,2,0,0,0,1,0,1,0,0,2,8,6,4,J
0,22,7,0,0,7,0,14,0,0,0,41,13,157,J
0,10,0,0,0,14,0,5,0,0,0,19,6,10,J
0,14,1,0,8,3,0,16,0,0,0,25,6,36,J
0,18,0,1,15,4,0,18,0,0,5,20,14,52,J
0,13,0,0,14,4,0,24,0,0,0,17,8,42,J
0,34,2,0,8,4,0,53,0,0,0,26,10,102,J
0,27,1,0,8,3,0,50,0,0,0,22,9,110,J
0,20,0,0,8,4,0,21,0,0,0,22,9,43,J
0,14,0,0,7,9,0,18,1,0,0,19,10,39,J
0,28,0,0,10,6,0,41,0,0,0,24,10,59,J
0,159,1,0,93,25,0,258,0,0,37,204,60,598,J
0,27,1,0,19,7,0,44,0,0,0,33,10,113,J
0,41,2,0,21,5,0,60,6,0,1,36,13,152,J
0,46,1,3,25,9,0,74,0,0,1,50,18,174,J
0,20,0,0,7,1,0,21,0,0,0,49,12,116,J
0,105,0,1,19,9,0,144,1,0,6,74,14,275,J
0,32,0,0,8,11,0,40,0,0,0,31,16,85,J
0,30,0,0,13,14,0,31,1,0,0,24,16,160,J
0,18,0,0,5,0,0,29,0,0,1,26,15,40,J
0,184,3,1,34,42,0,201,5,0,7,199,76,522,J
0,18,0,0,17,0,0,25,0,0,0,19,17,33,J
0,9,0,0,7,3,0,19,0,0,0,33,7,54,J
0,40,0,1,9,38,0,43,2,0,1,34,20,102,J
0,17,0,1,16,9,0,19,0,0,3,22,15,44,J
0,60,0,0,13,11,0,92,1,0,1,53,14,159,J
0,47,0,1,13,4,0,44,0,0,2,48,20,122,J
0,17,0,0,10,5,0,17,0,0,1,20,10,52,J
0,23,0,2,18,4,0,25,0,0,1,24,17,35,J
0,14,0,0,9,5,0,11,0,0,0,16,13,42,J
0,17,1,0,8,19,0,19,0,0,0,15,11,69,J
0,107,0,0,15,18,0,147,1,0,4,74,36,262,J
0,12,0,0,9,4,0,17,0,0,0,16,9,35,J
0,36,0,0,41,5,0,27,8,1,1,50,20,84,J
0,12,0,0,13,5,0,11,0,0,1,16,12,38,J
0,20,0,0,15,6,0,31,0,0,0,22,8,51,J
0,10,1,0,9,3,0,14,0,0,0,19,6,40,J
0,19,1,0,8,9,0,27,0,0,0,24,6,70,J
0,15,0,0,9,4,0,22,0,0,0,31,7,62,J
0,14,1,0,8,5,0,18,0,0,0,20,6,52,J
0,38,0,0,9,4,0,25,0,0,3,24,16,38,J
0,28,0,0,32,3,0,44,0,0,0,52,11,95,J
0,10,0,0,17,6,0,14,2,0,4,20,15,28,J
0,33,0,0,9,3,0,45,0,1,1,43,17,93,J
0,133,0,6,36,224,0,157,14,0,5,237,49,494,J
0,30,0,1,22,2,0,23,0,0,0,35,26,55,J
0,40,0,3,21,7,0,54,1,0,0,29,10,81,J
0,63,1,0,11,9,0,95,1,0,3,54,14,172,J
0,77,0,1,20,51,0,92,2,0,5,91,23,275,J
0,21,0,0,8,8,0,32,1,0,0,26,7,63,J
0,21,0,1,12,3,0,30,0,0,1,43,7,55,J
0,18,0,1,8,3,0,20,0,0,1,26,8,36,J
0,23,0,0,18,4,0,28,0,0,1,42,25,63,J
0,13,0,0,10,3,0,15,0,0,0,19,7,34,J
0,19,0,0,5,5,0,22,0,0,1,13,6,45,J
0,4,0,0,0,0,0,0,0,0,0,4,2,8,J
0,19,0,0,20,4,0,29,0,0,0,17,8,50,J
0,31,0,0,21,10,0,37,0,0,0,29,8,77,J
0,18,0,1,17,10,0,25,0,0,10,48,22,54,J
0,28,18,25,195,9,0,14,2,0,10,163,181,57,J
8,120,20,1,4,54,0,99,1,0,4,395,64,377,J
0,19,0,0,0,1,0,34,0,0,0,9,9,59,J
0,93,0,3,43,16,0,89,0,0,23,153,24,232,J
2,109,0,0,0,41,0,93,0,1,5,75,55,214,J
0,1,0,2,0,2,0,0,0,0,4,452,155,219,J
0,8,0,0,0,9,0,6,0,0,1,11,13,16,J
0,12,0,0,0,7,0,14,0,0,3,12,22,21,J
