"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
3,71,60,0,6,2,0,43,0,0,20,192,7,152,K
0,15,0,0,0,2,0,9,2,1,0,31,3,30,K
0,10,0,0,0,2,1,4,0,0,0,19,2,18,K
0,18,2,0,0,2,1,3,0,0,1,28,4,30,K
0,12,2,0,3,2,1,4,0,0,0,36,2,38,K
0,10,0,0,0,2,0,4,0,0,0,5,4,12,K
0,23,0,0,0,2,0,7,0,0,0,54,2,47,K
0,7,0,0,0,2,0,3,0,0,0,19,3,16,K
0,4,0,0,0,3,0,0,0,0,0,3,2,12,K
0,19,0,0,5,2,1,3,0,0,0,36,3,32,K
0,27,7,0,0,4,1,14,0,0,1,36,4,57,K
0,38,0,0,4,2,1,19,0,1,16,74,4,132,K
0,36,0,1,17,4,2,16,0,0,280,25,12,390,K
0,17,0,0,0,2,1,1,0,0,0,41,3,26,K
0,8,0,0,0,1,0,2,0,0,2,15,4,9,K
0,47,0,0,0,2,0,13,1,0,4,66,3,43,K
0,26,0,0,0,2,0,19,0,0,0,33,2,50,K
0,32,0,0,0,2,0,16,2,0,4,89,4,77,K
0,4,0,0,0,2,0,0,0,0,1,3,1,7,K
0,24,11,1,3,2,5,18,0,0,3,44,8,50,K
0,56,0,0,0,2,1,31,1,0,1,71,2,65,K
0,25,0,0,1,1,1,15,0,0,5,49,4,34,K
0,4,0,0,0,4,0,1,0,0,0,7,3,3,K
0,11,0,0,0,2,0,1,0,0,0,22,0,20,K
0,49,0,0,0,2,0,27,0,0,1,60,2,81,K
0,6,0,0,0,2,0,1,0,0,1,20,5,13,K
0,28,0,0,3,42,1,23,1,1,10,55,6,80,K
0,52,9,0,9,4,1,17,0,0,0,81,2,62,K
0,3,0,0,0,2,0,3,0,0,0,3,0,4,K
0,21,0,0,0,3,0,16,0,0,3,31,9,40,K
0,51,1,1,5,2,2,35,1,0,9,93,6,195,K
0,73,0,0,3,2,5,45,5,3,14,152,19,206,K
