"inline_NO_brace","inline_YES_brace","nextline_brace","double_backslash_NO_Space","double_backslash_YES_Space","single_backslash_asterisk","NO_parenthesis","YES_parenthesis","unary_NO_space","unary_YES_space","NO_binary_NO","NO_binary_YES","YES_binary_NO","YES_binary_YES","Programmer"
0,7,0,0,0,3,0,3,0,2,0,2,4,10,L
0,205,96,1,6,29,1,317,1,0,12,575,216,518,L
31,733,146,5,74,102,31,758,7,3,81,923,316,2052,L
1,97,26,2,16,12,3,186,0,0,6,238,101,428,L
0,57,12,0,21,2,0,67,0,0,0,50,31,127,L
7,312,78,1,23,62,14,442,2,0,18,675,251,1029,L
12,544,105,26,4,33,3,347,4,3,109,831,259,753,L
0,72,0,1,28,42,2,38,0,4,7,79,37,146,L
0,17,0,1,0,8,0,9,0,0,0,17,7,10,L
0,0,0,1,0,2,0,0,0,0,0,1,3,0,L
0,7,0,1,5,5,0,6,0,1,2,10,6,28,L
0,205,96,1,6,29,1,317,1,0,12,575,216,518,L
31,733,146,5,74,102,31,758,7,3,81,923,316,2052,L
1,97,26,2,16,12,3,186,0,0,6,238,101,428,L
0,57,12,0,21,2,0,67,0,0,0,50,31,127,L
7,312,78,1,23,62,14,442,2,0,18,675,251,1029,L
0,12,3,0,1,1,0,10,0,0,1,24,14,44,L
12,544,105,26,4,33,3,347,4,3,109,831,259,753,L
28,3,1,1,1,6,26,6,3,0,96,80,9,120,L
6,10,9,2,10,11,5,12,1,0,111,24,5,102,L
0,3,2,0,0,0,0,6,0,0,18,4,4,14,L
3,7,2,1,1,0,0,18,0,0,47,5,5,20,L
5,10,4,1,0,7,1,15,0,0,14,13,8,27,L
0,0,3,0,0,2,0,1,2,0,2,0,5,5,L
0,9,4,1,2,3,0,11,6,0,63,4,7,44,L
1,5,3,0,0,0,0,6,0,0,35,1,0,31,L
0,0,1,0,0,5,0,0,0,0,8,0,6,8,L
3,7,6,0,2,2,0,12,0,0,43,9,16,46,L
0,1,2,0,1,3,0,2,0,0,5,0,1,2,L
3,13,6,0,0,21,0,24,1,0,68,5,7,62,L
1,3,1,0,0,16,0,2,1,1,3,0,3,14,L
1,5,5,0,6,1,0,12,0,0,71,4,3,42,L
1,6,2,0,0,6,0,7,0,0,15,13,1,54,L
1,12,7,1,0,2,1,29,10,0,103,8,13,55,L
0,5,0,0,0,1,0,3,1,0,0,8,8,11,L
0,8,0,0,0,1,0,7,1,0,0,12,5,11,L
1,678,16,0,0,361,0,892,44,1,9,745,503,2018,L
0,155,0,0,0,15,0,83,1,0,0,170,112,154,L
16,160,20,1,0,67,0,143,55,0,5,207,104,457,L
0,208,1,0,0,45,0,229,1,0,2,296,46,489,L
0,8,0,0,0,3,0,4,0,0,0,18,10,18,L
0,8,0,0,0,1,0,7,1,0,0,5,8,28,L
0,25,0,0,0,14,0,18,0,0,0,5,16,48,L
